price,title,link,number,pic_url
49.90,切糕王子_切糕100g*4盒 综合味 新疆特产切糕零食小吃,https://item.jd.com/1549449865.html,1549449865,https://item.jd.com/bigimage.aspx?id=1549449865
3.20,【京东超市】Orion 好丽友 好多鱼脆香烧烤味 33g/盒,https://item.jd.com/1145418.html,1145418,https://item.jd.com/bigimage.aspx?id=1145418
26.30,【京东超市】口水娃 香卤海带丝年货零食 35g*20/盒,https://item.jd.com/3659792.html,3659792,https://item.jd.com/bigimage.aspx?id=3659792
21.90,【京东超市】金磨坊 休闲零食 香辣味 素毛肚 22g*20包/盒,https://item.jd.com/3552317.html,3552317,https://item.jd.com/bigimage.aspx?id=3552317
19.90,卫龙亲嘴烧辣条800g（约60片） 辣片辣条豆干零食 多口味 多口味混合,https://item.jd.com/1555365602.html,1555365602,https://item.jd.com/bigimage.aspx?id=1555365602
49.90,旺旺大礼包 膨化食品零食大礼包送女友一整箱 送礼佳品礼包 圣诞节礼物儿童礼物 918g,https://item.jd.com/1698530678.html,1698530678,https://item.jd.com/bigimage.aspx?id=1698530678
14.60,【京东超市】家缘 休闲零食  黄豆脆锅巴 孜然味 102g*6包,https://item.jd.com/3201612.html,3201612,https://item.jd.com/bigimage.aspx?id=3201612
17.90,三只松鼠_小贱香辣卤藕208gx1袋休闲零食特产办公室小吃香辣味   ,https://item.jd.com/10132265679.html,10132265679,https://item.jd.com/bigimage.aspx?id=10132265679
12.80,都市余味多口味豆干500g豆腐干休闲零食小吃散装独立小包装,https://item.jd.com/1643599453.html,1643599453,https://item.jd.com/bigimage.aspx?id=1643599453
5.20,【京东超市】旺旺浪味仙蕃茄味70g,https://item.jd.com/859519.html,859519,https://item.jd.com/bigimage.aspx?id=859519
9.90,【京东超市】好巴食 休闲零食 四川小吃 烧烤味蛋白素肉165g（新老包装随机发货）,https://item.jd.com/1814074.html,1814074,https://item.jd.com/bigimage.aspx?id=1814074
15.80,【京东超市】来伊份（lyfen）休闲零食 休闲食品 豆干 原味鱼豆腐250g,https://item.jd.com/3739324.html,3739324,https://item.jd.com/bigimage.aspx?id=3739324
13.50,盼盼 麦香鸡味块 休闲零食品 薯片薯条 105g 三种口味组合装315g,https://item.jd.com/10087260591.html,10087260591,https://item.jd.com/bigimage.aspx?id=10087260591
16.90,盐津铺子手撕素肉豆干辣条片440g 豆干麻辣条休闲零食 香辣味(辣),https://item.jd.com/10121272981.html,10121272981,https://item.jd.com/bigimage.aspx?id=10121272981
3.70,【京东超市】旺旺挑豆豌豆95g,https://item.jd.com/859509.html,859509,https://item.jd.com/bigimage.aspx?id=859509
49.00,【萨啦咪salami 肉类零食大礼包10包组合】烤鸡腿鸡翅鸭舌烤肠熟食送女友,https://item.jd.com/10322886447.html,10322886447,https://item.jd.com/bigimage.aspx?id=10322886447
10.60,【京东超市】亲亲 亲亲圈咖喱味组合装135g（45g*3）,https://item.jd.com/3167319.html,3167319,https://item.jd.com/bigimage.aspx?id=3167319
16.80,【京东超市】劲仔 休闲零食 小鱼香辣味 15g*20包/盒,https://item.jd.com/1096587.html,1096587,https://item.jd.com/bigimage.aspx?id=1096587
35.90,【京东超市】良品铺子 烧烤牛肉条 休闲零食 特产牛肉干 零食小吃165g,https://item.jd.com/1690471.html,1690471,https://item.jd.com/bigimage.aspx?id=1690471
41.60,【巧厨烘焙】披萨原料套餐新手diy自制披萨饼披萨酱芝士材料套装 8寸入门披萨套餐,https://item.jd.com/11011725947.html,11011725947,https://item.jd.com/bigimage.aspx?id=11011725947
9.80,【京东超市】怡达 山楂汁 鲜榨果汁果肉饮料果蔬汁 1L装,https://item.jd.com/3467486.html,3467486,https://item.jd.com/bigimage.aspx?id=3467486
45.00,【京东超市】好好 HaoHao 海苔金枪鱼松精品罐肉松厦门特产肉酥310g,https://item.jd.com/2883128.html,2883128,https://item.jd.com/bigimage.aspx?id=2883128
6.60,【京东超市】大和味（Dahewei）小米椒爆炒小公鸡薯条60g/罐,https://item.jd.com/2132176.html,2132176,https://item.jd.com/bigimage.aspx?id=2132176
17.70,【京东超市】GUANGYE广野 什锦罐头 900g,https://item.jd.com/2805285.html,2805285,https://item.jd.com/bigimage.aspx?id=2805285
19.90,【京东超市】旭东 焦糖味 葵花子 440g/盒,https://item.jd.com/3368768.html,3368768,https://item.jd.com/bigimage.aspx?id=3368768
58.00,旅顺馆 大连即食虾夷全贝 扇贝丁 24个左右 200g/袋 休闲海味零食,https://item.jd.com/10251668898.html,10251668898,https://item.jd.com/bigimage.aspx?id=10251668898
35.80,天喔 有劲家族牛肉干110g 休闲零食特产 香辣/五香/沙嗲味 香辣,https://item.jd.com/10062776048.html,10062776048,https://item.jd.com/bigimage.aspx?id=10062776048
29.90,扬子江龙须酥240g*3袋怀旧休闲零食湖北特产,https://item.jd.com/10110309478.html,10110309478,https://item.jd.com/bigimage.aspx?id=10110309478
39.50,包邮休闲零食童年卡笛那豌豆脆 三种口味卡迪那 60g*10包小吃年货多省非自营 香辣味,https://item.jd.com/11002026065.html,11002026065,https://item.jd.com/bigimage.aspx?id=11002026065
27.90,【京东超市】口水娃 香辣味莴笋 36g*20/盒,https://item.jd.com/3659810.html,3659810,https://item.jd.com/bigimage.aspx?id=3659810
48.00,重庆特产 有友泡椒凤爪鸡爪 100g*10包 香辣年货小吃零食,https://item.jd.com/10310341734.html,10310341734,https://item.jd.com/bigimage.aspx?id=10310341734
38.90,享食者 休闲零食休闲食品蔓越莓曲奇饼200g*3袋 饼干糕点办公室小吃办公室零食送女友,https://item.jd.com/10360057105.html,10360057105,https://item.jd.com/bigimage.aspx?id=10360057105
89.00,陕西富平柿饼 吊柿饼500g一袋包邮 单个独立包装礼盒装 农家手工尖柿子饼柿饼子自然晒干霜 独立包装 500g*3袋,https://item.jd.com/11137301749.html,11137301749,https://item.jd.com/bigimage.aspx?id=11137301749
11.80,【京东超市】米谷多满口脆米通花生味380g,https://item.jd.com/2882012.html,2882012,https://item.jd.com/bigimage.aspx?id=2882012
-1.00,【御食园官方旗舰店】芸豆卷500克 北京特产传统糕点 点心即食小包装茶点办公零食,https://item.jd.com/1497261207.html,1497261207,https://item.jd.com/bigimage.aspx?id=1497261207
10.88,五味园pk脆500g 薯条薯片香酥可口休闲零食大礼包 BBQ休闲零食品,https://item.jd.com/1337755439.html,1337755439,https://item.jd.com/bigimage.aspx?id=1337755439
15.90,【京东超市】农夫山庄 休闲零食 蜜饯果干 青梅果干210g瓶装,https://item.jd.com/3087395.html,3087395,https://item.jd.com/bigimage.aspx?id=3087395
39.90,芝麻官 休闲零食 重庆小吃 怪味胡豆蚕豆怀旧零食休闲小吃120g*5袋 麻辣味,https://item.jd.com/1601537665.html,1601537665,https://item.jd.com/bigimage.aspx?id=1601537665
11.90,【楼兰蜜语_香辣卤藕195g】休闲零食湖北特产办公室小吃藕片卤藕,https://item.jd.com/10696218615.html,10696218615,https://item.jd.com/bigimage.aspx?id=10696218615
29.90,【老鲜生】手撕鱿鱼丝 鱿鱼条肉干鱼干鱿鱼片零食大礼包送女友 手撕鱿鱼丝碳烤500g,https://item.jd.com/11180344890.html,11180344890,https://item.jd.com/bigimage.aspx?id=11180344890
29.90,高妆 小米锅巴休闲零食山西特产膨化食品脆香粗粮锅巴小吃麻辣60g/袋 麻辣味60g*12包,https://item.jd.com/10274477831.html,10274477831,https://item.jd.com/bigimage.aspx?id=10274477831
19.00,劲仔_厚豆干500g小包装 休闲零食小吃豆腐干麻辣豆 酱香味,https://item.jd.com/10200690786.html,10200690786,https://item.jd.com/bigimage.aspx?id=10200690786
19.90,乡乡嘴 休闲零食 豆干26克*20包四种口味 零食小吃 豆腐干 优惠券 麻辣味20包   辣度4颗星,https://item.jd.com/1502553307.html,1502553307,https://item.jd.com/bigimage.aspx?id=1502553307
128.00,广东特产咀香园零食小吃饼干糕点美食夹肉杏仁饼食品送礼手信9盒1630g,https://item.jd.com/1330083969.html,1330083969,https://item.jd.com/bigimage.aspx?id=1330083969
54.00,【御食园官方旗舰店】清恬莲子200g*3套装 开袋即食莲子无心莲子 下午茶点心零食,https://item.jd.com/1478459741.html,1478459741,https://item.jd.com/bigimage.aspx?id=1478459741
32.80,上好佳果仁奶油玉米花膨化零食品  50gx10袋,https://item.jd.com/1442124863.html,1442124863,https://item.jd.com/bigimage.aspx?id=1442124863
19.50, 买两份减两元 皓浩牛仔骨味30包 重庆风味美食 辣条 面筋小吃 儿时怀旧零食特产 ,https://item.jd.com/10221487773.html,10221487773,https://item.jd.com/bigimage.aspx?id=10221487773
5.00,【京东超市】苏州津津 卤汁豆腐干 麻辣鸡汁味 90g/盒,https://item.jd.com/1594886.html,1594886,https://item.jd.com/bigimage.aspx?id=1594886
16.80,贵州特产小吃香酥辣椒黔椒苑香辣脆香辣味干吃油炸辣椒丝休闲零食220g,https://item.jd.com/11010428141.html,11010428141,https://item.jd.com/bigimage.aspx?id=11010428141
12.00,潮之选 酥饺子 250g/袋 广东潮汕特产小吃手工零食品茶糕点心休闲零食黄金角酥 酥饺酥角,https://item.jd.com/10931906756.html,10931906756,https://item.jd.com/bigimage.aspx?id=10931906756
20.90,老川东麻辣牛板筋 四川特产休闲小吃美食牛肉干牛板筋香辣味100g 麻辣味,https://item.jd.com/1504963831.html,1504963831,https://item.jd.com/bigimage.aspx?id=1504963831
22.00,【京东超市】爱自然（Love Natural）山楂球300g,https://item.jd.com/2283150.html,2283150,https://item.jd.com/bigimage.aspx?id=2283150
11.50,包邮 风车车大刀肉辣条好吃的香辣味麻辣片休闲零食大礼包怀旧零食小吃四川重庆特产非自营 风车车1袋 42个左右,https://item.jd.com/10219325504.html,10219325504,https://item.jd.com/bigimage.aspx?id=10219325504
28.90,包邮 旺友辣子鸡麻辣味烧烤味辣子鸡鸡丁500g  一斤肉类零食  重庆特产 两种口味混合,https://item.jd.com/10141258097.html,10141258097,https://item.jd.com/bigimage.aspx?id=10141258097
56.00,张飞豆干 四川豆腐干休闲麻辣零食小吃1500g多种口味混合装独立小包装食品 夹心豆卷混合装,https://item.jd.com/10419385209.html,10419385209,https://item.jd.com/bigimage.aspx?id=10419385209
89.00,小王子 董小姐烤薯片办公室休闲膨化零食 整箱混搭2.5kg,https://item.jd.com/10439677748.html,10439677748,https://item.jd.com/bigimage.aspx?id=10439677748
6.90,【可比克】咔趣薯条75g袋装牛排味番茄味烤翅味原味可选 办公室零食休闲食品膨化零食小吃 秘制番茄味,https://item.jd.com/10153714000.html,10153714000,https://item.jd.com/bigimage.aspx?id=10153714000
33.90,牧场乳酪奶条400g 内蒙古奶酪奶干酸奶条 休闲零食 酸奶味,https://item.jd.com/10092471599.html,10092471599,https://item.jd.com/bigimage.aspx?id=10092471599
29.30,贾氏老坊 姜片217克X3袋 贾氏生冰糖姜片干 怀旧休闲零食小吃 湖南凤凰特产 包邮,https://item.jd.com/1394281073.html,1394281073,https://item.jd.com/bigimage.aspx?id=1394281073
76.80,【保鲜装】煌上煌休闲零食新鲜熟食卤味美食小吃 冰袋锁鲜江西特产休闲食品即食美味 鸭脖+鸭翅+鸭掌(730g) 锁鲜三盒装,https://item.jd.com/1454246473.html,1454246473,https://item.jd.com/bigimage.aspx?id=1454246473
82.00,享食者 进口零食大礼包一整箱1075g 17种进口休闲零食组合送女友结婚礼团购采购,https://item.jd.com/10569946543.html,10569946543,https://item.jd.com/bigimage.aspx?id=10569946543
22.80,【京东超市】瀛厚德 古训红糖 400g 纯蔗红糖,https://item.jd.com/3503808.html,3503808,https://item.jd.com/bigimage.aspx?id=3503808
25.90,安庆馆 野娃休闲零食原味粗粮地瓜干红薯香脆薯条番薯片香薯条700g罐,https://item.jd.com/10028164376.html,10028164376,https://item.jd.com/bigimage.aspx?id=10028164376
19.80,座上客_多口味豆干300g_重庆特产  麻辣豆干 零食小吃 豆腐干 豆干 鸡汁味,https://item.jd.com/1722564041.html,1722564041,https://item.jd.com/bigimage.aspx?id=1722564041
19.80,座上客_多口味豆干300g_重庆特产  麻辣豆干 零食小吃 豆腐干 豆干 五香味,https://item.jd.com/1722564042.html,1722564042,https://item.jd.com/bigimage.aspx?id=1722564042
18.00,贵州特产 开阳馋解香 麻辣土豆丝 麻辣干丝洋芋丝麻辣零食,https://item.jd.com/10838010214.html,10838010214,https://item.jd.com/bigimage.aspx?id=10838010214
23.60,【京东超市】蜡笔小新上品牛轧糖418g,https://item.jd.com/2882134.html,2882134,https://item.jd.com/bigimage.aspx?id=2882134
